放弃;abandonner;NonConnait;0;0
抽象的;abstrait;NonConnait;0;0
接受;accepter;NonConnait;0;0
事故;accident;NonConnait;0;0
陪伴;accompagner;NonConnait;0;0
完成;accomplir;NonConnait;0;0
指责;accuser;NonConnait;0;0
适应;adapter;NonConnait;0;0
adolescence;adolescence;NonConnait;0;0
采纳;adopter;NonConnait;0;0
冒险;aventure;NonConnait;0;0
航空;aviation;NonConnait;0;0
意识;conscience;NonConnait;0;0
后果;conséquence;NonConnait;0;0
保守的;conservateur;NonConnait;0;0
考虑;considérer;NonConnait;0;0
组成;composer;NonConnait;0;0
妥协;compromis;NonConnait;0;0
concevoir;concevoir;NonConnait;0;0
集中;concentrer;NonConnait;0;0
条件;condition;NonConnait;0;0
confesser;confesser;NonConnait;0;0
冲突;conflit;NonConnait;0;0
面对;confronter;NonConnait;0;0
国会;congrès;NonConnait;0;0
征服;conquérir;NonConnait;0;0
意识到的;conscient;NonConnait;0;0
consensus;consensus;NonConnait;0;0
保守的;conservateur;NonConnait;0;0
考虑;considérer;NonConnait;0;0
安慰;consoler;NonConnait;0;0
conspirer;conspirer;NonConnait;0;0
constant;constant;NonConnait;0;0
constit;constitution;NonConnait;0;0
建设;construire;NonConnait;0;0
消费;consommer;NonConnait;0;0
接触;contact;NonConnait;0;0
污染;contaminer;NonConnait;0;0
当代的;contemporain;NonConnait;0;0
内容;contenu;NonConnait;0;0
竞争;concurrence;NonConnait;0;0
谴责;condamner;NonConnait;0;0
行为;conduite;NonConnait;0;0
坦白;confesser;NonConnait;0;0
信心;confiance;NonConnait;0;0
配置;configuration;NonConnait;0;0
确认;confirmer;NonConnait;0;0
冲突;conflit;NonConnait;0;0
祝贺;congratuler;NonConnait;0;0
国会;congrès;NonConnait;0;0
征服;conquérir;NonConnait;0;0
后果;conséquence;NonConnait;0;0
保守的;conservateur;NonConnait;0;0
相当大的;considérable;NonConnait;0;0
考虑;considérer;NonConnait;0;0
consistent;consistant;NonConnait;0;0
安慰;consoler;NonConnait;0;0
conspirer;conspirer;NonConnait;0;0
明显的;conspicuous;NonConnait;0;0
constant;constant;NonConnait;0;0
constit;constitution;NonConnait;0;0
顾问;consultant;NonConnait;0;0
消耗;consommer;NonConnait;0;0
接触;contact;NonConnait;0;0
容器;contenant;NonConnait;0;0
当代的;contemporain;NonConnait;0;0
内容;contenu;NonConnait;0;0
竞争;concurrence;NonConnait;0;0
谴责;condamner;NonConnait;0;0
行为;conduite;NonConnait;0;0
坦白;confesser;NonConnait;0;0
信心;confiance;NonConnait;0;0
配置;configuration;NonConnait;0;0
确认;confirmer;NonConnait;0;0
冲突;conflit;NonConnait;0;0
祝贺;congratuler;NonConnait;0;0
国会;congrès;NonConnait;0;0
征服;conquérir;NonConnait;0;0
意识;conscience;NonConnait;0;0
后果;conséquence;NonConnait;0;0
保守的;conservateur;NonConnait;0;0
考虑;considérer;NonConnait;0;0
安慰;consoler;NonConnait;0;0
conspirer;conspirer;NonConnait;0;0
constant;constant;NonConnait;0;0
